listing_id,business_name,address,orgid,Rating,Rating Count,phone,website,domain,chain_name,lat,lon,in_chain,in_search,Category1,Category2,Category3,Category4,Category5,Category6,Category7
CID:183115423852366846,Signature Cafe,"Los Angeles, CA 90034",safeway,0,0,,,,Safeway,34.0303265,-118.4013073,TRUE,TRUE,Cafe,,,,,,
CID:7891847871391932220,Just For You,"24725 Railroad Ave, Newhall, CA 91321",safeway,3.9,19,(661) 255-1522,,,Safeway,34.3848136,-118.5316311,TRUE,TRUE,Laundromat,,,,,,
CID:16979819364448743270,Safeway Liquor,"17702 Chatsworth St, Granada Hills, CA 91344",safeway,4.4,56,(818) 363-0031,safewayliquor.business.site,safewayliquorbusinesssite,Safeway,34.2646703,-118.5199915,TRUE,TRUE,"Beer, Wine & Spirits",,,,,,
CID:5482912288093973813,Safeway Liquor,"Thousand Oaks, CA 91360",safeway,5,1,,safeway.com,safeway,Safeway,34.2016612,-118.8668735,TRUE,TRUE,"Beer, Wine & Spirits",,,,,,
CID:2559750037179800350,Signature Cafe,"Glendora, CA 91741",safeway,4.2,5,,,,Safeway,34.1373371,-117.871273,TRUE,TRUE,Cafe,,,,,,
CID:7881408299789886396,Signature Cafe,"985 Tamarack Ave, Carlsbad, CA 92008",safeway,4.5,2,,,,Safeway,33.1522779,-117.3339596,TRUE,TRUE,Cafe,,,,,,
CID:11010811638749410760,Signature Cafe,"Escondido, CA 92025",safeway,3.5,2,,,,Safeway,33.1027956,-117.0733359,TRUE,TRUE,Cafe,,,,,,
CID:10559437796258393584,Signature Cafe,"San Diego, CA 92122",safeway,0,0,,,,Safeway,32.8536939,-117.2030323,TRUE,TRUE,Cafe,,,,,,
CID:17595677531802900552,Safeway Pharmacy,"12199 Hesperia Rd, Victorville, CA 92392",safeway,4,2,(760) 241-2288,safeway.com,safeway,Safeway,34.4725765,-117.2896832,TRUE,TRUE,Pharmacy,,,,,,
CID:1962074511828124961,Signature Cafe,"185 E 17th St, Costa Mesa, CA 92627",safeway,2.5,0,,,,Safeway,33.6348327,-117.9203864,TRUE,TRUE,Cafe,,,,,,
CID:14569154267756656923,Safeway Liquor,"22451 Antonio Pkwy, Rancho Santa Margarita, CA 92688",safeway,5,1,,safeway.com,safeway,Safeway,33.6369226,-117.5916802,TRUE,TRUE,"Beer, Wine & Spirits",,,,,,
CID:11434526509898268157,Safeway Pharmacy,"PAVILIONS, 22451 Antonio Pkwy, Rancho Santa Margarita, CA 92688",safeway,0,0,(949) 858-0670,safeway.com,safeway,Safeway,33.6369226,-117.5916802,TRUE,TRUE,Pharmacy,,,,,,
CID:8798454792155974854,Safeway Bakery,"1516 Constitution Blvd, Salinas, CA 93905",safeway,0,1,(831) 444-3625,local.safeway.com,safeway,Safeway,36.6988984,-121.6205775,TRUE,TRUE,Bakery,,,,,,
CID:16298672213580442743,Safeway Liquor Store,"1516 Constitution Blvd, Salinas, CA 93905",safeway,4.2,27,(831) 444-3625,safeway.com,safeway,Safeway,36.6988107,-121.6205549,TRUE,TRUE,Grocery,,,,,,
CID:1337795194124034434,"Patrick J. McLarney, Pharm","1516 Constitution Blvd, Salinas, CA 93905",safeway,0,0,(831) 444-3630,safeway.com,safeway,Safeway,36.6988107,-121.6205549,TRUE,TRUE,Pharmacy,,,,,,
CID:13334605164112833005,Safeway,"1516 Constitution Blvd, Salinas, CA 93905",safeway,4.4,954,(831) 444-3625,local.safeway.com,safeway,Safeway,36.6989148,-121.6205797,TRUE,TRUE,Grocery,,,,,,
CID:8425389987353295934,Safeway Liquor,"1546 N Main St, Salinas, CA 93906",safeway,0,0,,safeway.com,safeway,Safeway,36.7126832,-121.6522178,TRUE,TRUE,"Beer, Wine & Spirits",,,,,,
